date,close
2025-01-02,1006.27
2025-01-03,1022.56
2025-01-06,1031.45
2025-01-07,1023.58
2025-01-08,1010.98
2025-01-09,1008.82
2025-01-10,1014.13
2025-01-13,1012.07
2025-01-14,999.95
2025-01-15,992.86
2025-01-16,1002.01
2025-01-17,1018.41
2025-01-20,1024.64
2025-01-21,1019.04
2025-01-22,1016.40
2025-01-23,1024.12
2025-01-24,1030.46
2025-01-27,1021.98
2025-01-28,1005.04
2025-01-29,997.85
2025-01-30,1005.43
2025-01-31,1014.18
2025-02-03,1012.40
2025-02-04,1007.63
2025-02-05,1014.14
2025-02-06,1030.08
2025-02-07,1037.93
2025-02-10,1028.87
2025-02-11,1015.59
2025-02-12,1013.30
2025-02-13,1018.74
2025-02-14,1016.97
2025-02-17,1005.52
2025-02-18,999.49
2025-02-19,1009.66
2025-02-20,1026.46
2025-02-21,1032.32
2025-02-24,1026.02
2025-02-25,1022.72
2025-02-26,1029.74
2025-02-27,1035.24
2025-02-28,1026.15
2025-03-03,1009.33
2025-03-04,1002.97
2025-03-05,1011.60
2025-03-06,1021.13
2025-03-07,1019.80
2025-03-10,1015.34
2025-03-11,1021.96
2025-03-12,1037.43
2025-03-13,1044.17
2025-03-14,1033.95
2025-03-17,1020.07
2025-03-18,1017.79
2025-03-19,1023.49
2025-03-20,1022.13
2025-03-21,1011.39
2025-03-24,1006.42
2025-03-25,1017.53
2025-03-26,1034.58
2025-03-27,1039.93
2025-03-28,1032.81
2025-03-31,1028.80
2025-04-01,1035.15
2025-04-02,1039.90
2025-04-03,1030.33
2025-04-04,1013.77
2025-04-07,1008.36
2025-04-08,1018.09
2025-04-09,1028.36
2025-04-10,1027.38
2025-04-11,1023.11
2025-04-14,1029.70
2025-04-15,1044.58
2025-04-16,1050.16
2025-04-17,1038.81
2025-04-18,1024.46
2025-04-21,1022.32
2025-04-22,1028.42
2025-04-23,1027.55
2025-04-24,1017.58
2025-04-25,1013.62
2025-04-28,1025.56
2025-04-29,1042.73
2025-04-30,1047.41
2025-05-01,1039.39
2025-05-02,1034.65
2025-05-05,1040.36
2025-05-06,1044.47
2025-05-07,1034.57
2025-05-08,1018.42
2025-05-09,1014.04
2025-05-12,1024.88
2025-05-13,1035.84
2025-05-14,1035.11
2025-05-15,1030.89
2025-05-16,1037.32
2025-05-19,1051.50
2025-05-20,1055.89
2025-05-21,1043.49
